;Token_ID;Lemma;Token;Children;Relation;POS;Category;AuxY;Language;Date_before;Date_after;Sentence;Proper;Verbs;Nouns;Polysyndeton;Bisyndeton;Minus_one;Strategy
65;225390;12768a;iter(um);3;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;C(aius) Valerius C(ai) f(ilius) Triarius / M(arcus) Runtius L(uci) f(ilius) Messia(nus) iter(um) / C(aius) Afiedius C(ai) f(ilius) Sexsti(anus) aed(iles) / ex s(enatus) c(onsulto) f(aciendum) locaverunt;1;0;0;1;0;0;O
66;515122;;-;2;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;M(arcus) Runtius L(uci) f(ilius) Messianus / C(aius) Afiedius C(ai) f(ilius) Sexstianus / probaverunt;1;0;0;0;0;1;A
67;226443;11978a;ac;2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;quiescas ac vi[ta f]r[u]ari[s] /;0;1;0;0;0;1;O
68;319770;13568a;q(ue);2;PRED_CO;verb;-;0;Latin;-27.0;-299.0;M(arcus) Lu{u}cius M(arci) f(ilius) / C(aius) Veienus C(ai) f(ilius) / IIIIvir(i) i(ure) d(icundo) s(enatus) c(onsulto) / pontem faciu(ndum) / cur(averunt) proba(ve)runtq(ue);0;1;0;0;0;1;S
69;515123;;-;2;SBJ_CO;noun;PROPER;0;Latin;-27.0;-299.0;M(arcus) Lu{u}cius M(arci) f(ilius) / C(aius) Veienus C(ai) f(ilius) / IIIIvir(i) i(ure) d(icundo) s(enatus) c(onsulto) / pontem faciu(ndum) / cur(averunt) proba(ve)runtq(ue);1;0;0;0;0;1;A
70;217448;12472a;et;2;SBJ_CO;noun;PROPER;0;Latin;-1.0;-268.0;P(ublius) Tr(ebius) Clodieis Gr(acchi) f{e}ili[i] / d(e) s(ua) p(ecunia) / Salvius et Hilarius / p(osuerunt) [---];1;0;0;0;0;1;P
71;515124;;-;2;SBJ_CO;noun;PROPER;0;Latin;-1.0;-268.0;P(ublius) Tr(ebius) Clodieis Gr(acchi) f{e}ili[i] / d(e) s(ua) p(ecunia) / Salvius et Hilarius / p(osuerunt) [---];1;0;0;0;0;1;A
72;165429;13144a;neque;2;PRED_CO;verb;-;1;Latin;-175.0;-250.0;neque exvehito / neque exferto / quod louci siet /;0;1;0;0;1;0;O
73;165473;12472a;et;2;PRED_CO;verb;-;1;Latin;-175.0;-250.0;seiquis scies / violasit dolo / malo et Io[vei] / bovid piacl[um dato] / et a(sses) CCC mo[ltai sunto] /;0;1;0;0;1;0;P
74;515125;;-;2;SBJ_CO;noun;PROPER;0;Latin;-201.0;-300.0;M(arcus) Mindios L(uci) fi(lius) / P(ublius) Condetios Va() fi(lius) / aidiles vicesma parti / Apolones dederi;1;0;0;0;0;1;A
